topic,train,val,test
family and home,0.07022302591922845,0.06993569131832797,0.06990759341100844
fashion and style,0.062286517982720516,0.06189710610932476,0.06187223784652471
food and cooking,0.06891701828410689,0.06872990353697749,0.06910405785456006
gaming and hobbies,0.08388587502511553,0.08360128617363344,0.08437123342707915
health and medicine,0.07258388587502511,0.0727491961414791,0.07271996785857775
mental health and feelings,0.058921036769138034,0.058681672025723476,0.0590598633989554
money and work,0.07424151095037171,0.0747588424437299,0.07432703897147448
politics and news,0.06319067711472774,0.06270096463022508,0.06347930895942146
pop culture and entertainment,0.05831826401446655,0.05908360128617363,0.05825632784250703
relationships and dating,0.06575246132208158,0.06591639871382636,0.06548814785054238
school and studying,0.05922242314647378,0.0594855305466238,0.05825632784250703
sports and fitness,0.05866988145469158,0.05988745980707395,0.05785456006428284
technology and social media,0.0704239501707856,0.06993569131832797,0.07071112896745681
travel and going out,0.061332127787823994,0.060691318327974274,0.06187223784652471
weather and environment,0.07203134418324292,0.07194533762057878,0.07271996785857775
